3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,46
53.33,60.0,51.11,62.22,66.67,82.22,80.0,80.0,80.0,77.78,82.22,80.0,80.0,82.22,80.0,80.0,80.0,80.0,80.0,77.78,80.0,80.0,80.0
