PULEARNING,JACCARD,COSINE,BAYESIANSETS,ONECLASS,TWOCLASS,COMBINATION
44.44,55.56,55.56,44.44,55.56,33.33,66.67
-4.44,24.44,4.44,15.56,-15.56,26.67,-6.67
