PULEARNING,JACCARD,COSINE,BAYESIANSETS,ONECLASS,TWOCLASS,COMBINATION
73.33,75.56,60.0,75.56,51.11,75.56,80.0
0.58,11.4,5.22,-1.65,18.46,2.7,6.96
