PULEARNING,JACCARD,COSINE,BAYESIANSETS,ONECLASS,TWOCLASS,COMBINATION
33.33,50.0,50.0,58.33,41.67,58.33,66.67
16.67,16.67,0.0,8.34,-8.34,25.0,16.66
