PULEARNING,JACCARD,COSINE,BAYESIANSETS,ONECLASS,TWOCLASS,COMBINATION
41.67,66.67,58.33,75.0,58.33,66.67,83.33
41.66,33.33,25.0,25.0,25.0,33.33,16.67
