PULEARNING,JACCARD,COSINE,BAYESIANSETS,ONECLASS,TWOCLASS,COMBINATION
62.96,59.26,74.07,66.67,59.26,74.07,74.07
37.04,33.6,18.79,33.33,12.17,25.93,25.93
