PULEARNING,JACCARD,COSINE,BAYESIANSETS,ONECLASS,TWOCLASS,COMBINATION
16.0,16.0,12.0,8.0,14.0,12.0,10.0
0.0,0.0,4.0,4.0,-2.0,-4.0,6.0
