KEYWORD,BACKWARD,RELATED,FORWARD,BANDIT,SEEDFINDER,ACHE,BIPARTITE
11.89,17.82,19.71,4.96,12.93,0.36,5.38,0.95
9.8,15.08,3.94,6.72,22.43,1.64,4.86,0.74
