KEYWORD,BACKWARD,RELATED,FORWARD,BANDIT,SEEDFINDER,ACHE,BIPARTITE
18.86,12.03,8.92,9.19,11.59,1.31,9.68,0.26
9.08,2.68,21.02,0.7,25.91,1.6,2.18,0.32
