KEYWORD,BACKWARD,RELATED,FORWARD,BANDIT,SEEDFINDER,ACHE,BIPARTITE
13.27,11.22,16.93,2.83,15.65,0.14,1.33,0.11
7.45,3.92,32.85,0.72,36.63,0.85,0.93,0.25
